t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
8.400000000000000522e-02,6.571244667705760101e-01,2.289605856505704029e+00,-1.640349678122619004e+00,-6.544375946984420933e-01,-7.084816135393318115e-01,1.558542860289483301e+00,3.060302458574286621e-01,-2.582309380435184737e-03,-2.122567486114631308e+00,2.007533208848970574e+00,-1.494538230996097949e+00,-2.765086476545818850e-01,1.103872215365499843e+00,-1.857814441951228801e+01,-9.830069884977890027e+00,-3.298103573456636184e+00,2.079449292921295759e-04,9.912693743142554637e-03
8.600000000000000699e-02,6.577270809587332234e-01,2.289592491793560836e+00,-1.644536961572493405e+00,-6.504686742151548628e-01,-7.114225210207973937e-01,1.557997833694519496e+00,3.108132834699692260e-01,1.771136386550234507e-03,-2.151673514950685817e+00,2.030513862029255101e+00,-1.518977639008918468e+00,-2.805414137267646657e-01,1.083262529696664256e+00,-1.840049069526023828e+01,-9.710458036792372738e+00,-3.255457107440215214e+00,-4.824418399576958782e-03,9.987439694919218389e-03
8.799999999999999489e-02,6.583394875587991191e-01,2.289587434810832711e+00,-1.648784394722564439e+00,-6.464515486064731364e-01,-7.144133149432886354e-01,1.557444510947014749e+00,3.154798840493281964e-01,6.329927801193827377e-03,-2.179782739641349831e+00,2.052340201076307658e+00,-1.542898682681234312e+00,-2.844555390261869765e-01,1.062610237528508694e+00,-1.822071741204328532e+01,-9.590413941673375575e+00,-3.212545600170347626e+00,-9.717420032091040813e-03,1.005693165307090450e-02
8.999999999999999667e-02,6.589614536967014491e-01,2.289591096248825064e+00,-1.653089983964458165e+00,-6.423885265006972212e-01,-7.174529585780997643e-01,1.556883129328457516e+00,3.200300475975065284e-01,1.109406485995433067e-02,-2.206895160214477070e+00,2.073012226001284652e+00,-1.566301362021458088e+00,-2.882510235332808590e-01,1.041914450338034648e+00,-1.803875780376204929e+01,-9.469926911446378881e+00,-3.169369802525247692e+00,-1.446237288283955431e-02,1.012085962962003954e-02
9.199999999999999845e-02,6.595927464983751820e-01,2.289603886798829979e+00,-1.657451735689905892e+00,-6.382819165260843475e-01,-7.205404151965562054e-01,1.556313926120407976e+00,3.244637741165556921e-01,1.606354755817093055e-02,-2.233010776700438349e+00,2.092529936814380154e+00,-1.589185677038140510e+00,-2.919278672265549490e-01,1.021175249288790887e+00,-1.785455306543261500e+01,-9.348988056529700330e+00,-3.125931828461036677e+00,-1.905066938481167829e-02,1.017892098318127700e-02
9.400000000000000022e-02,6.602331330897590611e-01,2.289626217152135546e+00,-1.661867656290680895e+00,-6.341340273108754255e-01,-7.236746480699967066e-01,1.555737138604456726e+00,3.287810636085470306e-01,2.123837589073755000e-02,-2.258129589130609460e+00,2.110893333525405868e+00,-1.611551627739889803e+00,-2.954860700837529386e-01,1.000393101273526764e+00,-1.766804755890338896e+01,-9.227589202799437729e+00,-3.082234334149209776e+00,-2.347373360242312190e-02,1.023081599475193955e-02
9.600000000000000200e-02,6.608823805967921627e-01,2.289658498000025411e+00,-1.666335752158577321e+00,-6.299471674833033719e-01,-7.268546204697655666e-01,1.555153004062209465e+00,3.329819160755629337e-01,2.661854985234329840e-02,-2.282251597536783194e+00,2.128102416143883069e+00,-1.633399214135331068e+00,-2.989256320822283319e-01,9.795686344601044482e-01,-1.747918713740944696e+01,-9.105722503301022286e+00,-3.038280212440958028e+00,-2.772301817234713861e-02,1.027624672984409245e-02
9.800000000000000377e-02,6.615402561454225561e-01,2.289701140033763682e+00,-1.670854029685512110e+00,-6.257236456715635775e-01,-7.300792956672408351e-01,1.554561759775358043e+00,3.370663315197425791e-01,3.220406943657004584e-02,-2.305376801953019417e+00,2.144157184677756067e+00,-1.654728436233184219e+00,-3.022465531972251540e-01,9.587033484269481542e-01,-1.728792571809485423e+01,-8.983381879791904723e+00,-2.994073635360158470e+00,-3.179013062501980652e-02,1.031492491487664281e-02
1.000000000000000056e-01,6.622065268616005307e-01,2.289754553944606918e+00,-1.675420495263442389e+00,-6.214657705038389990e-01,-7.333476369338115530e-01,1.553963643025624064e+00,3.410343099432447955e-01,3.799493463662520498e-02,-2.327505202414143159e+00,2.159057639134438045e+00,-1.675539294042203586e+00,-3.054488334032742225e-01,9.377990374635587489e-01,-1.709421994531791356e+01,-8.860561852207990086e+00,-2.949619207546924304e+00,-3.566673087595199909e-02,1.034656554358744790e-02
1.020000000000000073e-01,6.628809598712788187e-01,2.289819150423809457e+00,-1.680033155284356150e+00,-6.171758506083057094e-01,-7.366586075408745327e-01,1.553358891094751115e+00,3.448858513482422894e-01,4.399114544547173822e-02,-2.348636798955382243e+00,2.172803779520854128e+00,-1.695831787571150828e+00,-3.085324726744048118e-01,9.168576558655450182e-01,-1.689802821999881033e+01,-8.737257311688754413e+00,-2.904921787167556779e+00,-3.934453206530422881e-02,1.037088628866893875e-02
1.040000000000000091e-01,6.635633223004178127e-01,2.289895340162593662e+00,-1.684690016140375279e+00,-6.128561946131108051e-01,-7.400111707598603372e-01,1.552747741264580261e+00,3.486209557369703282e-01,5.019270185495276759e-02,-2.368771591613790140e+00,2.185395605841689015e+00,-1.715605916828826683e+00,-3.114974709823473131e-01,8.958818906817286321e-01,-1.669931698912821361e+01,-8.613464849621893293e+00,-2.859987393544057177e+00,-4.281549124235892873e-02,1.038761709720268690e-02
