t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
3.340000000000000191e-01,7.370109199733737571e-01,2.572612623737053017e+00,-2.059036836853199937e+00,-6.322741543754301086e-01,-1.303808926417863390e+00,1.424675642771477735e+00,3.343612430828135085e-01,2.227531899520884373e+00,-5.047407459030763821e-01,-1.125297693856132542e+00,-1.127305340038792680e+00,2.776724129150169307e-01,2.417913389662160184e-02,8.190692026196757070e+00,4.665001341761566778e+00,1.231323273410498853e+00,2.007801357768971423e-02,-1.183972110543981236e-02
3.360000000000000209e-01,7.376862323131745391e-01,2.576977187166319183e+00,-2.060201175222569070e+00,-6.344290563856661569e-01,-1.306167137168404491e+00,1.425074165345058708e+00,3.321642206993583590e-01,2.257454024852469043e+00,-4.533947685276868977e-01,-1.156675064877042525e+00,-1.093250637630919897e+00,3.301117146911166644e-01,-3.610496841091569847e-02,8.508936935538054414e+00,4.851012391166781512e+00,1.268796186872233500e+00,-8.910867516141118827e-03,-1.125046886999733417e-02
3.380000000000000226e-01,7.383573032955766946e-01,2.581400407520264118e+00,-2.061265379543659737e+00,-6.366463971168279112e-01,-1.308457881254041721e+00,1.425573369475488850e+00,3.299171208674778200e-01,2.287769334039054581e+00,-4.012023812769646147e-01,-1.188148307955712690e+00,-1.058985384649836714e+00,3.839283699259352090e-01,-9.812755452844401649e-02,8.820673699420503056e+00,5.035663747872457741e+00,1.305364485914537021e+00,-3.920741677561569161e-02,-1.060801802698072005e-02
3.400000000000000244e-01,7.390240331890342018e-01,2.585883058361684750e+00,-2.062227784621240012e+00,-6.389263883271383282e-01,-1.310680738708158044e+00,1.426175996365770082e+00,3.276198159256958342e-01,2.318481908579471451e+00,-3.481551097723322163e-01,-1.219711160427743968e+00,-1.024509251181314973e+00,4.391265402456787093e-01,-1.618532321886344827e-01,9.120861093571878797e+00,5.216704024494143610e+00,1.340421472737502784e+00,-7.079083181769285638e-02,-9.900482736927191524e-03
3.420000000000000262e-01,7.396863222302109131e-01,2.590425914168433597e+00,-2.063086723216135177e+00,-6.412692403199345970e-01,-1.312835289476364187e+00,1.426884788214042965e+00,3.252721959391103312e-01,2.349595262270422147e+00,-2.942456569649794518e-01,-1.251358230032816321e+00,-9.898219532783790742e-01,4.957098114770946973e-01,-2.272590029097041053e-01,9.405146762374197777e+00,5.392198960611436220e+00,1.373444239601725014e+00,-1.036480718032136428e-01,-9.117403662546458287e-03
3.440000000000000280e-01,7.403440700965495669e-01,2.595029765514950348e+00,-2.063840492134582316e+00,-6.436751378059374362e-01,-1.314921111960296374e+00,1.427702504723735277e+00,3.228744627975813075e-01,2.381102922569381164e+00,-2.394874359882515624e-01,-1.283099435621859241e+00,-9.549240155951519426e-01,5.536716406690805892e-01,-2.945398849146077525e-01,9.681296106599747375e+00,5.565792815412090810e+00,1.405383813653365843e+00,-1.379026277229940256e-01,-8.273414792699483947e-03
3.460000000000000298e-01,7.409971759878291042e-01,2.599695416724776553e+00,-2.064487357471755047e+00,-6.461442436356135133e-01,-1.316937783242787319e+00,1.428631920550636591e+00,3.204270847400009781e-01,2.412989886976914189e+00,-1.839115498373504187e-01,-1.314957774223526332e+00,-9.198166534625289437e-01,6.129968332478883397e-01,-3.640771181292474790e-01,9.967425060635219936e+00,5.745894810578840328e+00,1.438450202008739520e+00,-1.737946109429491792e-01,-7.404583895526273968e-03
3.480000000000000315e-01,7.416455390884746368e-01,2.604423672563352721e+00,-2.065025584335766329e+00,-6.486767199568352904e-01,-1.318884880364281420e+00,1.429675810831108063e+00,3.179305385657845151e-01,2.445240878838677467e+00,-1.275496700639761893e-01,-1.346956663202307780e+00,-8.845011044099259090e-01,6.736699165744955975e-01,-4.362579276907251891e-01,1.028198222755592361e+01,5.941067314857506609e+00,1.474893875709138769e+00,-2.115678810364484685e-01,-6.547667626089023578e-03
3.500000000000000333e-01,7.422890586684153247e-01,2.609215335329203800e+00,-2.065453443335732775e+00,-6.512727328353277167e-01,-1.320761980602195296e+00,1.430836948037032874e+00,3.153852534307949318e-01,2.477842146741759954e+00,-7.043030453668892854e-02,-1.379117181138050929e+00,-8.489784824640076444e-01,7.356769661583603126e-01,-5.114360981622469993e-01,1.064156362951429990e+01,6.159020660808614878e+00,1.516739899277364634e+00,-2.514454742787655683e-01,-5.735578624338038591e-03
3.519999999999999796e-01,7.429276359432741561e-01,2.614071151183689157e+00,-2.065769330261717940e+00,-6.539325374915627709e-01,-1.322568666626482647e+00,1.432118044007340885e+00,3.127905743130302008e-01,2.510814647705327918e+00,-1.250996827159435790e-02,-1.411407185168882084e+00,-8.132470912197541368e-01,7.990392872143650127e-01,-5.892044395732100037e-01,1.102060791096547732e+01,6.388076224304201745e+00,1.560883980878194688e+00,-2.931765714542240997e-01,-4.913755026440582915e-03
